Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,1500,16000,16000,2025-05-17
2,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-09-04
3,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-09-05
4,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-09-11
5,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-07-12
6,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-03-12
7,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-09-12
8,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-03-19
9,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-04-24
10,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-03-26
11,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-09-26
12,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-08-02
13,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-08-07
14,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-08-08
15,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2025-03-09
16,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-08-12
17,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-09-12
18,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-09-13
19,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2025-02-15
20,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2025-02-16
21,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2025-03-17
